fighter_name,fighter_url,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,recent_fights_count,fight_0_date,fight_0_event,fight_0_method,fight_0_opponent,fight_0_result,fight_0_round,fight_1_date,fight_1_event,fight_1_method,fight_1_opponent,fight_1_result,fight_1_round,fight_2_date,fight_2_event,fight_2_method,fight_2_opponent,fight_2_result,fight_2_round,fight_3_date,fight_3_event,fight_3_method,fight_3_opponent,fight_3_result,fight_3_round,fight_4_date,fight_4_event,fight_4_method,fight_4_opponent,fight_4_result,fight_4_round,fight_5_date,fight_5_event,fight_5_method,fight_5_opponent,fight_5_result,fight_5_round,fight_6_date,fight_6_event,fight_6_method,fight_6_opponent,fight_6_result,fight_6_round,fight_7_date,fight_7_event,fight_7_method,fight_7_opponent,fight_7_result,fight_7_round,fight_8_date,fight_8_event,fight_8_method,fight_8_opponent,fight_8_result,fight_8_round,fight_9_date,fight_9_event,fight_9_method,fight_9_opponent,fight_9_result,fight_9_round
Darren Elkins,http://www.ufcstats.com/fighter-details/92a9aa9c93192871,3.40,38,3.34,51,2.87,34,56,1.1,30,"Apr. 12, 2025",UFC 314: Volkanovski vs. Lopes,KO/TKO,Julian Erosa,loss,1,"Oct. 19, 2024",UFC Fight Night: Hernandez vs. Pereira,,Daniel Pineda,win,3,"Oct. 14, 2023",UFC Fight Night: Yusuff vs. Barboza,,TJ Brown,win,3,"Dec. 03, 2022",UFC Fight Night: Thompson vs. Holland,,Jonathan Pearce,loss,3,"Apr. 30, 2022",UFC Fight Night: Font vs. Vera,,Tristan Connelly,win,3,"Dec. 18, 2021",UFC Fight Night: Lewis vs. Daukaus,KO/TKO,Cub Swanson,loss,1,"Jul. 24, 2021",UFC Fight Night: Sandhagen vs. Dillashaw,KO/TKO,Darrick Minner,win,2,"Nov. 07, 2020",UFC Fight Night: Santos vs. Teixeira,,Eduardo Garagorri,win,3,"May. 16, 2020",UFC Fight Night: Overeem vs. Harris,,Nate Landwehr,loss,3,"Jul. 13, 2019",UFC Fight Night: De Randamie vs. Ladd,,Ryan Hall,loss,3
Yadier del Valle,http://www.ufcstats.com/fighter-details/70380ccdc81915b8,4.05,60,2.16,55,1.23,42,58,2.0,4,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,,Jordan Leavitt,loss,3,"Nov. 01, 2025",UFC Fight Night: Garcia vs. Onama,,Isaac Dulgarian,win,1,"May. 17, 2025",UFC Fight Night: Burns vs. Morales,,Connor Matthews,win,1,"Oct. 15, 2024",DWCS 8.10,,Antonio Monteiro,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Asplund,http://www.ufcstats.com/fighter-details/e56cee1ad697db04,10.05,51,6.64,50,0.00,0,100,0.0,3,"Mar. 14, 2026",UFC Fight Night: Emmett vs. Vallejos,,Vitor Petrino,loss,3,"Dec. 13, 2025",UFC Fight Night: Royval vs. Kape,KO/TKO,Sean Sharaf,win,2,"Sep. 09, 2025",DWCS 9.5,KO/TKO,Anthony Guarascio,win,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilherme Pat,http://www.ufcstats.com/fighter-details/ba15006c804a8de0,2.70,61,2.03,51,0.00,0,100,0.0,2,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,,Thomas Petersen,loss,3,"Dec. 13, 2025",UFC Fight Night: Royval vs. Kape,,Allen Frye Jr.,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliana Miller,http://www.ufcstats.com/fighter-details/aa0c573da7119292,2.65,39,4.14,44,2.16,29,44,1.2,5,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,,Carli Judice,loss,3,"May. 03, 2025",UFC Fight Night: Sandhagen vs. Figueiredo,,Ivana Petrovic,win,3,"Aug. 12, 2023",UFC Fight Night: Luque vs. Dos Anjos,KO/TKO,Luana Santos,loss,1,"Mar. 18, 2023",UFC 286: Edwards vs. Usman 3,,Veronica Hardy,loss,3,"Aug. 06, 2022",UFC Fight Night: Santos vs. Hill,KO/TKO,Brogan Walker,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravena Oliveira,http://www.ufcstats.com/fighter-details/4948e412fa6ab67d,1.91,30,3.72,46,0.88,50,46,0.0,3,"Mar. 21, 2026",UFC Fight Night: Evloev vs. Murphy,KO/TKO,Shanelle Dyer,loss,2,"Oct. 18, 2025",UFC Fight Night: De Ridder vs. Allen,,Stephanie Luciano,loss,3,"Oct. 14, 2023",UFC Fight Night: Yusuff vs. Barboza,,Tainara Lisboa,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Lemos,http://www.ufcstats.com/fighter-details/3df5493bb279226f,2.75,55,3.01,45,1.02,64,63,0.7,15,"Mar. 14, 2026",UFC Fight Night: Emmett vs. Vallejos,,Gillian Robertson,loss,3,"Sep. 13, 2025",UFC Fight Night: Lopes vs. Silva,,Tatiana Suarez,loss,3,"Mar. 08, 2025",UFC 313: Pereira vs. Ankalaev,,Iasmin Lucindo,win,3,"Jul. 20, 2024",UFC Fight Night: Lemos vs. Jandiroba,,Virna Jandiroba,loss,2,"Feb. 17, 2024",UFC 298: Volkanovski vs. Topuria,,Mackenzie Dern,win,3,"Aug. 19, 2023",UFC 292: Sterling vs. O'Malley,,Zhang Weili,loss,5,"Nov. 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,KO/TKO,Marina Rodriguez,win,3,"Jul. 16, 2022",UFC Fight Night: Ortega vs. Rodriguez,,Michelle Waterson-Gomez,win,2,"Apr. 23, 2022",UFC Fight Night: Lemos vs. Andrade,,Jessica Andrade,loss,1,"Dec. 18, 2021",UFC Fight Night: Lewis vs. Daukaus,,Angela Hill,win,3
Alexia Thainara,http://www.ufcstats.com/fighter-details/545092d13c67aa49,4.62,43,2.46,59,4.54,57,100,1.8,4,"Mar. 28, 2026",UFC Fight Night: Adesanya vs. Pyfer,,Bruna Brasil,win,3,"Sep. 27, 2025",UFC Fight Night: Ulberg vs. Reyes,,Loma Lookboonmee,win,3,"Mar. 22, 2025",UFC Fight Night: Edwards vs. Brady,,Molly McCann,win,1,"Sep. 24, 2024",DWCS 8.7,,Rose Conceicao,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam Makhachev,http://www.ufcstats.com/fighter-details/275aca31f61ba28c,2.45,58,1.45,61,3.10,56,91,1.0,18,"Nov. 15, 2025",UFC 322: Della Maddalena vs. Makhachev,,Jack Della Maddalena,win,5,"Jan. 18, 2025",UFC 311: Makhachev vs. Moicano,,Renato Moicano,win,1,"Jun. 01, 2024",UFC 302: Makhachev vs. Poirier,,Dustin Poirier,win,5,"Oct. 21, 2023",UFC 294: Makhachev vs. Volkanovski 2,KO/TKO,Alexander Volkanovski,win,1,"Feb. 11, 2023",UFC 284: Makhachev vs. Volkanovski,,Alexander Volkanovski,win,5,"Oct. 22, 2022",UFC 280: Oliveira vs. Makhachev,,Charles Oliveira,win,2,"Feb. 26, 2022",UFC Fight Night: Makhachev vs. Green,KO/TKO,King Green,win,1,"Oct. 30, 2021",UFC 267: Blachowicz vs. Teixeira,,Dan Hooker,win,1,"Jul. 17, 2021",UFC Fight Night: Makhachev vs. Moises,,Thiago Moises,win,4,"Mar. 06, 2021",UFC 259: Blachowicz vs. Adesanya,,Drew Dober,win,3
Ian Machado Garry,http://www.ufcstats.com/fighter-details/442c9011034ae1fd,4.78,54,2.86,52,0.92,31,80,0.4,11,"Nov. 22, 2025",UFC Fight Night: Tsarukyan vs. Hooker,,Belal Muhammad,win,3,"Apr. 26, 2025",UFC Fight Night: Machado Garry vs. Prates,,Carlos Prates,win,5,"Dec. 07, 2024",UFC 310: Pantoja vs. Asakura,,Shavkat Rakhmonov,loss,5,"Jun. 29, 2024",UFC 303: Pereira vs. Prochazka 2,,Michael Page,win,3,"Feb. 17, 2024",UFC 298: Volkanovski vs. Topuria,,Geoff Neal,win,3,"Aug. 19, 2023",UFC 292: Sterling vs. O'Malley,,Neil Magny,win,3,"May. 13, 2023",UFC Fight Night: Rozenstruik vs. Almeida,KO/TKO,Daniel Rodriguez,win,1,"Mar. 04, 2023",UFC 285: Jones vs. Gane,KO/TKO,Song Kenan,win,3,"Jul. 02, 2022",UFC 276: Adesanya vs. Cannonier,,Gabe Green,win,3,"Apr. 09, 2022",UFC 273: Volkanovski vs. The Korean Zombie,,Darian Weeks,win,3
Mackenzie Dern,http://www.ufcstats.com/fighter-details/7447e9f28508106a,3.47,41,3.93,51,0.93,18,37,1.1,16,"Oct. 25, 2025",UFC 321: Aspinall vs. Gane,,Virna Jandiroba,win,5,"Jan. 11, 2025",UFC Fight Night: Dern vs. Ribas 2,,Amanda Ribas,win,3,"Aug. 03, 2024",UFC Fight Night: Sandhagen vs. Nurmagomedov,,Loopy Godinez,win,3,"Feb. 17, 2024",UFC 298: Volkanovski vs. Topuria,,Amanda Lemos,loss,3,"Nov. 11, 2023",UFC 295: Prochazka vs. Pereira,KO/TKO,Jessica Andrade,loss,2,"May. 20, 2023",UFC Fight Night: Dern vs. Hill,,Angela Hill,win,5,"Oct. 01, 2022",UFC Fight Night: Dern vs. Yan,,Yan Xiaonan,loss,5,"Apr. 09, 2022",UFC 273: Volkanovski vs. The Korean Zombie,,Tecia Pennington,win,3,"Oct. 09, 2021",UFC Fight Night: Dern vs. Rodriguez,,Marina Rodriguez,loss,5,"Apr. 10, 2021",UFC Fight Night: Vettori vs. Holland,,Nina Nunes,win,1
Gillian Robertson,http://www.ufcstats.com/fighter-details/38c7f72747f4f712,2.71,48,2.86,56,2.76,40,38,0.9,20,"Mar. 14, 2026",UFC Fight Night: Emmett vs. Vallejos,,Amanda Lemos,win,3,"May. 03, 2025",UFC Fight Night: Sandhagen vs. Figueiredo,KO/TKO,Marina Rodriguez,win,2,"Nov. 09, 2024",UFC Fight Night: Magny vs. Prates,,Luana Pinheiro,win,3,"Jun. 29, 2024",UFC 303: Pereira vs. Prochazka 2,,Michelle Waterson-Gomez,win,3,"Jan. 20, 2024",UFC 297: Strickland vs. Du Plessis,KO/TKO,Polyana Viana,win,2,"Jun. 24, 2023",UFC Fight Night: Emmett vs. Topuria,,Tabatha Ricci,loss,3,"Apr. 15, 2023",UFC Fight Night: Holloway vs. Allen,,Piera Rodriguez,win,2,"Sep. 17, 2022",UFC Fight Night: Sandhagen vs. Song,,Mariya Agapova,win,2,"Mar. 12, 2022",UFC Fight Night: Santos vs. Ankalaev,,JJ Aldrich,loss,3,"Dec. 11, 2021",UFC 269: Oliveira vs. Poirier,,Priscila Cachoeira,win,1
Jalin Turner,http://www.ufcstats.com/fighter-details/4d8fa64202cee4c1,5.79,48,4.54,41,0.75,55,75,1.1,15,"Dec. 06, 2025",UFC 323: Dvalishvili vs. Yan 2,KO/TKO,Edson Barboza,win,1,"Mar. 08, 2025",UFC 313: Pereira vs. Ankalaev,,Ignacio Bahamondes,loss,1,"Apr. 13, 2024",UFC 300: Pereira vs. Hill,KO/TKO,Renato Moicano,loss,2,"Dec. 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,KO/TKO,King Green,win,1,"Jul. 08, 2023",UFC 290: Volkanovski vs. Rodriguez,,Dan Hooker,loss,3,"Mar. 04, 2023",UFC 285: Jones vs. Gane,,Mateusz Gamrot,loss,3,"Jul. 02, 2022",UFC 276: Adesanya vs. Cannonier,,Brad Riddell,win,1,"Mar. 05, 2022",UFC 272: Covington vs. Masvidal,KO/TKO,Jamie Mullarkey,win,2,"Sep. 25, 2021",UFC 266: Volkanovski vs. Ortega,,Uros Medic,win,1,"Sep. 12, 2020",UFC Fight Night: Waterson vs. Hill,,Brok Weaver,win,2
Kaue Fernandes,http://www.ufcstats.com/fighter-details/ec13c393d029297d,4.28,55,1.42,62,1.18,100,76,0.0,4,"Sep. 06, 2025",UFC Fight Night: Imavov vs. Borralho,KO/TKO,Harry Hardwick,win,1,"Mar. 22, 2025",UFC Fight Night: Edwards vs. Brady,,Guram Kutateladze,win,3,"Aug. 03, 2024",UFC Fight Night: Sandhagen vs. Nurmagomedov,KO/TKO,Mohammad Yahya,win,1,"Nov. 04, 2023",UFC Fight Night: Almeida vs. Lewis,,Marc Diakiese,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansur Abdul-Malik,http://www.ufcstats.com/fighter-details/841695e02c99a521,3.28,44,4.49,46,1.65,41,83,0.3,6,"Mar. 28, 2026",UFC Fight Night: Adesanya vs. Pyfer,KO/TKO,Yousri Belgaroui,loss,3,"Dec. 06, 2025",UFC 323: Dvalishvili vs. Yan 2,,Antonio Trocoli,win,1,"Jun. 14, 2025",UFC Fight Night: Usman vs. Buckley,,Cody Brundage,draw,3,"Feb. 22, 2025",UFC Fight Night: Cejudo vs. Song,KO/TKO,Nick Klein,win,2,"Nov. 09, 2024",UFC Fight Night: Magny vs. Prates,KO/TKO,Dusko Todorovic,win,1,"Aug. 13, 2024",DWCS 8.1,KO/TKO,Wes Schultz,win,2,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Stoltzfus,http://www.ufcstats.com/fighter-details/71505842fb6455c3,3.30,45,3.23,47,2.08,37,46,1.1,11,"Sep. 13, 2025",UFC Fight Night: Lopes vs. Silva,,Kelvin Gastelum,loss,3,"May. 17, 2025",UFC Fight Night: Burns vs. Morales,,Nursulton Ruziboev,loss,3,"Nov. 02, 2024",UFC Fight Night: Moreno vs. Albazi,KO/TKO,Marc-Andre Barriault,win,1,"Jun. 08, 2024",UFC Fight Night: Cannonier vs. Imavov,KO/TKO,Brunno Ferreira,loss,1,"Dec. 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,,Punahele Soriano,win,2,"Sep. 03, 2022",UFC Fight Night: Gane vs. Tuivasa,KO/TKO,Abus Magomedov,loss,1,"Jul. 16, 2022",UFC Fight Night: Ortega vs. Rodriguez,,Dwight Grant,win,3,"Dec. 18, 2021",UFC Fight Night: Lewis vs. Daukaus,,Gerald Meerschaert,loss,3,"Jul. 17, 2021",UFC Fight Night: Makhachev vs. Moises,,Rodolfo Vieira,loss,3,"Nov. 21, 2020",UFC 255: Figueiredo vs. Perez,,Kyle Daukaus,loss,3
Edson Barboza,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,4.14,44,4.68,55,0.43,50,73,0.1,32,"Dec. 06, 2025",UFC 323: Dvalishvili vs. Yan 2,KO/TKO,Jalin Turner,loss,1,"Aug. 16, 2025",UFC 319: Du Plessis vs. Chimaev,,Drakkar Klose,loss,3,"May. 18, 2024",UFC Fight Night: Barboza vs. Murphy,,Lerone Murphy,loss,5,"Oct. 14, 2023",UFC Fight Night: Yusuff vs. Barboza,,Sodiq Yusuff,win,5,"Apr. 15, 2023",UFC Fight Night: Holloway vs. Allen,KO/TKO,Billy Quarantillo,win,1,"Mar. 05, 2022",UFC 272: Covington vs. Masvidal,,Bryce Mitchell,loss,3,"Aug. 28, 2021",UFC Fight Night: Barboza vs. Chikadze,KO/TKO,Giga Chikadze,loss,3,"May. 15, 2021",UFC 262: Oliveira vs. Chandler,KO/TKO,Shane Burgos,win,3,"Oct. 10, 2020",UFC Fight Night: Moraes vs. Sandhagen,,Makwan Amirkhani,win,3,"May. 16, 2020",UFC Fight Night: Overeem vs. Harris,,Dan Ige,loss,3
Esteban Ribovics,http://www.ufcstats.com/fighter-details/323d4ca260dfa0ba,7.27,43,5.83,54,0.35,66,66,0.2,8,"Apr. 11, 2026",UFC 327: Prochazka vs. Ulberg,,Mateusz Gamrot,loss,2,"Aug. 02, 2025",UFC Fight Night: Taira vs. Park,,Elves Brener,win,3,"Mar. 01, 2025",UFC Fight Night: Kape vs. Almabayev,,Nasrat Haqparast,loss,3,"Sep. 14, 2024",UFC 306: Riyadh Season Noche UFC,,Daniel Zellhuber,win,3,"May. 11, 2024",UFC Fight Night: Lewis vs. Nascimento,KO/TKO,Terrance McKinney,win,1,"Jul. 08, 2023",UFC 290: Volkanovski vs. Rodriguez,,Kamuela Kirk,win,3,"Mar. 04, 2023",UFC 285: Jones vs. Gane,,Loik Radzhabov,loss,3,"Aug. 16, 2022",DWCS 6.4,KO/TKO,Thomas Paull,win,1,,,,,,,,,,,,
Jeremiah Wells,http://www.ufcstats.com/fighter-details/d66a46de8d705353,2.35,46,1.28,48,3.06,46,50,1.3,7,"Nov. 01, 2025",UFC Fight Night: Garcia vs. Onama,,Themba Gorimbo,win,3,"Feb. 10, 2024",UFC Fight Night: Hermansson vs. Pyfer,,Max Griffin,loss,3,"Aug. 05, 2023",UFC Fight Night: Sandhagen vs. Font,,Carlston Harris,loss,3,"Apr. 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,,Matthew Semelsberger,win,3,"Jun. 18, 2022",UFC Fight Night: Kattar vs. Emmett,KO/TKO,Court McGee,win,1,"Feb. 12, 2022",UFC 271: Adesanya vs. Whittaker 2,,Blood Diamond,win,1,"Jun. 26, 2021",UFC Fight Night: Gane vs. Volkov,KO/TKO,Warlley Alves,win,2,,,,,,,,,,,,,,,,,,
Myktybek Orolbai,http://www.ufcstats.com/fighter-details/bf2c8e01b07d3eb1,2.78,50,2.70,51,8.77,59,40,0.5,6,"Mar. 14, 2026",UFC Fight Night: Emmett vs. Vallejos,,Chris Curtis,win,3,"Nov. 22, 2025",UFC Fight Night: Tsarukyan vs. Hooker,KO/TKO,Jack Hermansson,win,1,"Jun. 21, 2025",UFC Fight Night: Hill vs. Rountree Jr.,,Tofiq Musayev,win,1,"Oct. 26, 2024",UFC 308: Topuria vs. Holloway,,Mateusz Rebecki,loss,3,"May. 04, 2024",UFC 301: Pantoja vs. Erceg,,Elves Brener,win,3,"Nov. 18, 2023",UFC Fight Night: Allen vs. Craig,,Uros Medic,win,2,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Neal,http://www.ufcstats.com/fighter-details/b997be68943010fc,5.02,50,5.50,57,0.54,45,87,0.1,15,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,KO/TKO,Uros Medic,loss,1,"Aug. 16, 2025",UFC 319: Du Plessis vs. Chimaev,KO/TKO,Carlos Prates,loss,1,"Oct. 26, 2024",UFC 308: Topuria vs. Holloway,KO/TKO,Rafael Dos Anjos,win,1,"Feb. 17, 2024",UFC 298: Volkanovski vs. Topuria,,Ian Machado Garry,loss,3,"Mar. 04, 2023",UFC 285: Jones vs. Gane,,Shavkat Rakhmonov,loss,3,"Aug. 06, 2022",UFC Fight Night: Santos vs. Hill,KO/TKO,Vicente Luque,win,3,"Dec. 11, 2021",UFC 269: Oliveira vs. Poirier,,Santiago Ponzinibbio,win,3,"May. 08, 2021",UFC Fight Night: Rodriguez vs. Waterson,,Neil Magny,loss,3,"Dec. 19, 2020",UFC Fight Night: Thompson vs. Neal,,Stephen Thompson,loss,5,"Dec. 14, 2019",UFC 245: Usman vs. Covington,KO/TKO,Mike Perry,win,1
Chidi Njokuani,http://www.ufcstats.com/fighter-details/c68c68efaa5ca6ef,5.16,61,3.32,57,0.00,0,75,0.1,11,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,,Carlos Leal,loss,3,"Jul. 12, 2025",UFC Fight Night: Lewis vs. Teixeira,,Jake Matthews,loss,1,"Mar. 15, 2025",UFC Fight Night: Vettori vs. Dolidze 2,KO/TKO,Elizeu Zaleski dos Santos,win,2,"Oct. 12, 2024",UFC Fight Night: Royval vs. Taira,,Jared Gooden,win,3,"Mar. 30, 2024",UFC Fight Night: Blanchfield vs. Fiorot,,Rhys McKee,win,3,"Aug. 26, 2023",UFC Fight Night: Holloway vs. The Korean Zombie,KO/TKO,Michal Oleksiejczuk,loss,1,"Mar. 25, 2023",UFC Fight Night: Vera vs. Sandhagen,,Albert Duraev,loss,3,"Sep. 17, 2022",UFC Fight Night: Sandhagen vs. Song,KO/TKO,Gregory Rodrigues,loss,2,"May. 21, 2022",UFC Fight Night: Holm vs. Vieira,KO/TKO,Dusko Todorovic,win,1,"Feb. 05, 2022",UFC Fight Night: Hermansson vs. Strickland,KO/TKO,Marc-Andre Barriault,win,1
Vicente Luque,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a,4.80,50,5.24,51,0.89,48,59,0.7,25,"Apr. 11, 2026",UFC 327: Prochazka vs. Ulberg,,Kelvin Gastelum,win,1,"Oct. 11, 2025",UFC Fight Night: Oliveira vs. Gamrot,,Joel Alvarez,loss,3,"Jun. 07, 2025",UFC 316: Dvalishvili vs. O'Malley 2,,Kevin Holland,loss,2,"Dec. 07, 2024",UFC 310: Pantoja vs. Asakura,,Themba Gorimbo,win,1,"Mar. 30, 2024",UFC Fight Night: Blanchfield vs. Fiorot,KO/TKO,Joaquin Buckley,loss,2,"Aug. 12, 2023",UFC Fight Night: Luque vs. Dos Anjos,,Rafael Dos Anjos,win,5,"Aug. 06, 2022",UFC Fight Night: Santos vs. Hill,KO/TKO,Geoff Neal,loss,3,"Apr. 16, 2022",UFC Fight Night: Luque vs. Muhammad,,Belal Muhammad,loss,5,"Aug. 07, 2021",UFC 265: Lewis vs. Gane,,Michael Chiesa,win,1,"Mar. 27, 2021",UFC 260: Miocic vs. Ngannou,,Tyron Woodley,win,1
Tresean Gore,http://www.ufcstats.com/fighter-details/147e70aa6cc48cfc,3.41,49,7.00,40,1.91,72,83,1.0,7,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,,Azamat Bekoev,win,3,"Aug. 02, 2025",UFC Fight Night: Taira vs. Park,,Rodolfo Vieira,loss,3,"Apr. 12, 2025",UFC 314: Volkanovski vs. Lopes,KO/TKO,Marco Tulio,loss,2,"Nov. 09, 2024",UFC Fight Night: Magny vs. Prates,,Antonio Trocoli,win,1,"Oct. 29, 2022",UFC Fight Night: Kattar vs. Allen,,Josh Fremd,win,2,"Jul. 09, 2022",UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,Cody Brundage,loss,1,"Feb. 05, 2022",UFC Fight Night: Hermansson vs. Strickland,,Bryan Battle,loss,3,,,,,,,,,,,,,,,,,,
Neil Magny,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5,3.40,46,2.44,51,2.17,39,55,0.3,37,"Dec. 13, 2025",UFC Fight Night: Royval vs. Kape,,Yaroslav Amosov,loss,1,"Sep. 27, 2025",UFC Fight Night: Ulberg vs. Reyes,,Jake Matthews,win,3,"Aug. 02, 2025",UFC Fight Night: Taira vs. Park,KO/TKO,Elizeu Zaleski dos Santos,win,2,"Nov. 09, 2024",UFC Fight Night: Magny vs. Prates,KO/TKO,Carlos Prates,loss,1,"Aug. 24, 2024",UFC Fight Night: Cannonier vs. Borralho,KO/TKO,Michael Morales,loss,1,"Jan. 20, 2024",UFC 297: Strickland vs. Du Plessis,KO/TKO,Mike Malott,win,3,"Aug. 19, 2023",UFC 292: Sterling vs. O'Malley,,Ian Machado Garry,loss,3,"Jun. 24, 2023",UFC Fight Night: Emmett vs. Topuria,,Phil Rowe,win,3,"Jan. 21, 2023",UFC 283: Teixeira vs. Hill,,Gilbert Burns,loss,1,"Nov. 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,,Daniel Rodriguez,win,3
Ramiz Brahimaj,http://www.ufcstats.com/fighter-details/3d074044a33825e7,2.29,48,3.27,47,1.99,34,44,1.6,9,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,,Punahele Soriano,loss,3,"Oct. 04, 2025",UFC 320: Ankalaev vs. Pereira 2,,Austin Vanderford,win,2,"May. 31, 2025",UFC Fight Night: Blanchfield vs. Barber,,Billy Ray Goff,win,1,"Nov. 16, 2024",UFC 309: Jones vs. Miocic,KO/TKO,Mickey Gall,win,1,"May. 18, 2024",UFC Fight Night: Barboza vs. Murphy,,Themba Gorimbo,loss,3,"Feb. 26, 2022",UFC Fight Night: Makhachev vs. Green,,Micheal Gillmore,win,1,"Jan. 15, 2022",UFC Fight Night: Kattar vs. Chikadze,,Court McGee,loss,3,"Aug. 21, 2021",UFC Fight Night: Cannonier vs. Gastelum,,Sasha Palatnikov,win,1,"Nov. 07, 2020",UFC Fight Night: Santos vs. Teixeira,KO/TKO,Max Griffin,loss,3,,,,,,
Donte Johnson,http://www.ufcstats.com/fighter-details/ad5cb64af10fc946,3.11,48,2.00,61,2.00,100,75,0.7,3,"Mar. 07, 2026",UFC 326: Holloway vs. Oliveira 2,,Cody Brundage,win,3,"Nov. 01, 2025",UFC Fight Night: Garcia vs. Onama,,Sedriques Dumas,win,2,"Aug. 26, 2025",DWCS 9.3,KO/TKO,Darion Abbey,win,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric McConico,http://www.ufcstats.com/fighter-details/9508cc6184cb2450,2.92,46,3.05,45,0.64,100,68,0.0,4,"Apr. 25, 2026",UFC Fight Night: Sterling vs. Zalal,,Rodolfo Vieira,win,3,"Nov. 15, 2025",UFC 322: Della Maddalena vs. Makhachev,KO/TKO,Baisangur Susurkaev,loss,3,"Aug. 09, 2025",UFC Fight Night: Dolidze vs. Hernandez,,Cody Brundage,win,3,"Feb. 22, 2025",UFC Fight Night: Cejudo vs. Song,KO/TKO,Nursulton Ruziboev,loss,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hernandez,http://www.ufcstats.com/fighter-details/093e1f5bb73850be,4.57,60,3.10,51,5.88,48,68,1.6,13,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,KO/TKO,Sean Strickland,loss,3,"Aug. 09, 2025",UFC Fight Night: Dolidze vs. Hernandez,,Roman Dolidze,win,4,"Feb. 22, 2025",UFC Fight Night: Cejudo vs. Song,,Brendan Allen,win,3,"Oct. 19, 2024",UFC Fight Night: Hernandez vs. Pereira,KO/TKO,Michel Pereira,win,5,"Feb. 17, 2024",UFC 298: Volkanovski vs. Topuria,,Roman Kopylov,win,2,"May. 20, 2023",UFC Fight Night: Dern vs. Hill,KO/TKO,Edmen Shahbazyan,win,3,"Sep. 17, 2022",UFC Fight Night: Sandhagen vs. Song,,Marc-Andre Barriault,win,3,"Apr. 09, 2022",UFC 273: Volkanovski vs. The Korean Zombie,,Josh Fremd,win,3,"Feb. 13, 2021",UFC 258: Usman vs. Burns,,Rodolfo Vieira,win,2,"May. 16, 2020",UFC Fight Night: Overeem vs. Harris,KO/TKO,Kevin Holland,loss,1
Gregory Rodrigues,http://www.ufcstats.com/fighter-details/d1c65d2cf2925ddd,5.53,51,4.78,50,1.90,34,75,0.4,14,"Mar. 07, 2026",UFC 326: Holloway vs. Oliveira 2,KO/TKO,Brunno Ferreira,win,1,"Nov. 15, 2025",UFC 322: Della Maddalena vs. Makhachev,,Roman Kopylov,win,3,"Jun. 28, 2025",UFC 317: Topuria vs. Oliveira,KO/TKO,Jack Hermansson,win,1,"Feb. 15, 2025",UFC Fight Night: Cannonier vs. Rodrigues,KO/TKO,Jared Cannonier,loss,4,"Jul. 27, 2024",UFC 304: Edwards vs. Muhammad 2,,Christian Leroy Duncan,win,3,"Feb. 10, 2024",UFC Fight Night: Hermansson vs. Pyfer,KO/TKO,Brad Tavares,win,3,"Aug. 19, 2023",UFC 292: Sterling vs. O'Malley,KO/TKO,Denis Tiuliulin,win,1,"Jan. 21, 2023",UFC 283: Teixeira vs. Hill,KO/TKO,Brunno Ferreira,loss,1,"Sep. 17, 2022",UFC Fight Night: Sandhagen vs. Song,KO/TKO,Chidi Njokuani,win,2,"Jun. 18, 2022",UFC Fight Night: Kattar vs. Emmett,KO/TKO,Julian Marquez,win,1
